model,run_id,best_params,accuracy,precision,recall,f1_score,roc_auc,cv_best_roc_auc
logistic_regression,63aadfc59cd349bb88e47ebdc4608129,{'classifier__C': 0.1},0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9653679653679654,0.8981779894823372
xgboost,2f543dc2d1aa4f3b8e4bfe76223897d4,"{'classifier__learning_rate': 0.05, 'classifier__max_depth': 3, 'classifier__n_estimators': 100}",0.8852459016393442,0.8620689655172413,0.8928571428571429,0.8771929824561403,0.9491341991341993,0.8821180027701766
random_forest,c7f27fdbb3b646f6b4dfcd769124b8b4,"{'classifier__max_depth': 5, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 100}",0.8524590163934426,0.8275862068965517,0.8571428571428571,0.8421052631578947,0.946969696969697,0.9042667477450086
